TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612737,2019,00,Brandon Goodwin,0,G,6-0,180,OCT 02, 1995,24.0,1,Florida Gulf Coast,1629164
1610612737,2019,00,Evan Turner,1,G-F,6-6,220,OCT 27, 1988,31.0,9,Ohio State,202323
1610612737,2019,00,Kevin Huerter,3,G-F,6-7,190,AUG 27, 1998,21.0,1,Maryland,1628989
1610612737,2019,00,Charles Brown Jr.,4,G,6-6,199,FEB 02, 1997,22.0,R,None,1629718
1610612737,2019,00,Jabari Parker,5,F,6-8,245,MAR 15, 1995,24.0,5,Duke,203953
1610612737,2019,00,Tyrone Wallace,8,G,6-5,198,JUN 10, 1994,25.0,2,California,1627820
1610612737,2019,00,Trae Young,11,G,6-1,180,SEP 19, 1998,21.0,1,Oklahoma,1629027
1610612737,2019,00,De'Andre Hunter,12,F-G,6-7,225,DEC 02, 1997,21.0,R,Virginia,1629631
1610612737,2019,00,Vince Carter,15,G-F,6-6,220,JAN 26, 1977,42.0,21,North Carolina,1713
1610612737,2019,00,John Collins,20,F,6-9,235,SEP 23, 1997,22.0,2,Wake Forest,1628381
1610612737,2019,00,Cam Reddish,22,F-G,6-8,218,SEP 01, 1999,20.0,R,Duke,1629629
1610612737,2019,00,Bruno Fernando,24,F-C,6-9,240,AUG 15, 1998,21.0,R,Maryland,1628981
1610612737,2019,00,Alex Len,25,C,7-0,250,JUN 16, 1993,26.0,6,Maryland,203458
1610612737,2019,00,Damian Jones,30,C,6-11,245,JUN 30, 1995,24.0,3,Vanderbilt,1627745
1610612737,2019,00,Chandler Parsons,31,F,6-9,230,OCT 25, 1988,31.0,8,Florida,202718
1610612737,2019,00,Allen Crabbe,33,G-F,6-5,212,APR 09, 1992,27.0,6,California,203459
1610612737,2019,00,DeAndre' Bembry,95,G-F,6-5,210,JUL 04, 1994,25.0,3,None,1627761
