TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612751,2019,00,Rodions Kurucs,00,F,6-9,228,FEB 05, 1998,21.0,1, ,1629066
1610612751,2019,00,David Nwaba,0,G-F,6-5,219,JAN 14, 1993,26.0,3,Cal Poly-Obispo,1628021
1610612751,2019,00,Theo Pinson,1,G-F,6-5,212,NOV 05, 1995,23.0,1,North Carolina,1629033
1610612751,2019,00,Taurean Prince,2,F,6-7,218,MAR 22, 1994,25.0,3,Baylor,1627752
1610612751,2019,00,Henry Ellenson,4,F-C,6-10,240,JAN 13, 1997,22.0,3,Marquette,1627740
1610612751,2019,00,DeAndre Jordan,6,C,6-11,265,JUL 21, 1988,31.0,11,Texas A&M,201599
1610612751,2019,00,Kevin Durant,7,F,6-10,240,SEP 29, 1988,31.0,12,Texas,201142
1610612751,2019,00,Spencer Dinwiddie,8,G,6-5,215,APR 06, 1993,26.0,5,Colorado,203915
1610612751,2019,00,Kyrie Irving,11,G,6-2,195,MAR 23, 1992,27.0,8,Duke,202681
1610612751,2019,00,Joe Harris,12,G-F,6-6,220,SEP 06, 1991,28.0,5,Virginia,203925
1610612751,2019,00,Dzanan Musa,13,G-F,6-9,217,MAY 08, 1999,20.0,1, ,1629058
1610612751,2019,00,Timothe Luwawu-Cabarrot,15,G-F,6-7,220,MAY 09, 1995,24.0,3, ,1627789
1610612751,2019,00,Garrett Temple,17,G-F,6-5,195,MAY 08, 1986,33.0,9,Louisiana State,202066
1610612751,2019,00,Wilson Chandler,21,F,6-8,235,MAY 10, 1987,32.0,11,DePaul,201163
1610612751,2019,00,Caris LeVert,22,G,6-6,205,AUG 25, 1994,25.0,3,Michigan,1627747
1610612751,2019,00,Jarrett Allen,31,C,6-11,243,APR 21, 1998,21.0,2,Texas,1628386
1610612751,2019,00,Nicolas Claxton,33,F-C,6-11,215,APR 17, 1999,20.0,R,Georgia,1629651
