TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612738,2019,00,Jayson Tatum,0,F-G,6-8,210,MAR 03, 1998,21.0,2,Duke,1628369
1610612738,2019,00,Carsen Edwards,4,G,5-11,200,MAR 12, 1998,21.0,R,Purdue,1629035
1610612738,2019,00,Jaylen Brown,7,G-F,6-6,223,OCT 24, 1996,23.0,3,California,1627759
1610612738,2019,00,Kemba Walker,8,G,6-0,184,MAY 08, 1990,29.0,8,Connecticut,202689
1610612738,2019,00,Brad Wanamaker,9,G,6-3,210,JUL 25, 1989,30.0,1,Pittsburgh,202954
1610612738,2019,00,Enes Kanter,11,C,6-10,250,MAY 20, 1992,27.0,8, ,202683
1610612738,2019,00,Grant Williams,12,F,6-6,236,NOV 30, 1998,20.0,R,Tennessee,1629684
1610612738,2019,00,Gordon Hayward,20,F,6-7,225,MAR 23, 1990,29.0,9,Butler,202330
1610612738,2019,00,Daniel Theis,27,F-C,6-8,245,APR 04, 1992,27.0,2, ,1628464
1610612738,2019,00,Marcus Smart,36,G,6-3,220,MAR 06, 1994,25.0,5,Oklahoma State,203935
1610612738,2019,00,Semi Ojeleye,37,F,6-6,240,DEC 05, 1994,24.0,2,Southern Methodist,1628400
1610612738,2019,00,Javonte Green,43,G-F,6-4,205,JUL 23, 1993,26.0,R,Radford University,1629750
1610612738,2019,00,Robert Williams III,44,C-F,6-8,237,OCT 17, 1997,22.0,1,Texas A&M,1629057
1610612738,2019,00,Romeo Langford,45,G-F,6-4,216,OCT 25, 1999,20.0,R,Indiana,1629641
1610612738,2019,00,Tremont Waters,51,G,5-10,175,JAN 10, 1998,21.0,R,Louisiana State,1629682
1610612738,2019,00,Vincent Poirier,77,C-F,7-0,235,OCT 17, 1993,26.0,R, ,1629738
1610612738,2019,00,Tacko Fall,99,C,7-5,311,DEC 10, 1995,23.0,R,Central Florida,1629605
