TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612766,2019,00,Miles Bridges,0,F,6-6,225,MAR 21, 1998,21.0,1,Michigan State,1628970
1610612766,2019,00,Malik Monk,1,G,6-3,200,FEB 04, 1998,21.0,2,Kentucky,1628370
1610612766,2019,00,Marvin Williams,2,F,6-8,237,JUN 19, 1986,33.0,14,North Carolina,101107
1610612766,2019,00,Terry Rozier,3,G,6-1,190,MAR 17, 1994,25.0,4,Louisville,1626179
1610612766,2019,00,Devonte' Graham,4,G,6-1,195,FEB 22, 1995,24.0,1,Kansas,1628984
1610612766,2019,00,Nicolas Batum,5,G-F,6-9,230,DEC 14, 1988,30.0,11, ,201587
1610612766,2019,00,Jalen McDaniels,6,F-C,6-10,205,JAN 31, 1998,21.0,R,San Diego State,1629667
1610612766,2019,00,Dwayne Bacon,7,G-F,6-6,221,AUG 30, 1995,24.0,2,Florida State,1628407
1610612766,2019,00,Bismack Biyombo,8,C,6-8,255,AUG 28, 1992,27.0,8, ,202687
1610612766,2019,00,Willy Hernangomez,9,C-F,6-11,250,MAY 27, 1994,25.0,3, ,1626195
1610612766,2019,00,Caleb Martin,10,F,6-5,205,SEP 28, 1995,24.0,R,Nevada-Reno,1628997
1610612766,2019,00,Cody Martin,11,F,6-5,205,SEP 28, 1995,24.0,R,Nevada-Reno,1628998
1610612766,2019,00,Michael Kidd-Gilchrist,14,F,6-6,232,SEP 26, 1993,26.0,7,Kentucky,203077
1610612766,2019,00,Robert Franks,22,F,6-7,225,DEC 18, 1996,22.0,R,Washington State,1629606
1610612766,2019,00,Kobi Simmons,23,G,6-5,166,JUL 04, 1997,22.0,2,Arizona,1628424
1610612766,2019,00,P.J. Washington,25,F,6-7,230,AUG 23, 1998,21.0,R,Kentucky,1629023
1610612766,2019,00,Cody Zeller,40,F-C,7-0,240,OCT 05, 1992,27.0,6,Indiana,203469
