TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612741,2019,00,Coby White,0,G,6-4,195,FEB 16, 2000,19.0,R,North Carolina,1629632
1610612741,2019,00,Luke Kornet,2,F-C,7-2,250,JUL 15, 1995,24.0,2,Vanderbilt,1628436
1610612741,2019,00,Shaquille Harrison,3,G,6-7,190,OCT 06, 1993,26.0,2,Tulsa,1627885
1610612741,2019,00,Cristiano Felicio,6,F-C,6-10,270,JUL 07, 1992,27.0,4, ,1626245
1610612741,2019,00,Zach LaVine,8,G-F,6-6,200,MAR 10, 1995,24.0,5,UCLA,203897
1610612741,2019,00,Daniel Gafford,12,F-C,6-10,234,OCT 01, 1998,21.0,R,Arkansas,1629655
1610612741,2019,00,Chandler Hutchison,15,F-G,6-7,210,APR 26, 1996,23.0,1,Boise State,1628990
1610612741,2019,00,Adam Mokoka,20,G,6-5,190,JUL 18, 1998,21.0,R, ,1629690
1610612741,2019,00,Thaddeus Young,21,F,6-8,235,JUN 21, 1988,31.0,12,Georgia Tech,201152
1610612741,2019,00,Otto Porter Jr.,22,F,6-8,198,JUN 03, 1993,26.0,6,Georgetown,203490
1610612741,2019,00,Lauri Markkanen,24,F-C,7-0,240,MAY 22, 1997,22.0,2,Arizona,1628374
1610612741,2019,00,Max Strus,28,G-F,6-5,215,MAR 28, 1996,23.0,R,DePaul,1629622
1610612741,2019,00,Tomas Satoransky,31,G,6-7,210,OCT 30, 1991,28.0,3, ,203107
1610612741,2019,00,Kris Dunn,32,G,6-3,205,MAR 18, 1994,25.0,3,Providence,1627739
1610612741,2019,00,Wendell Carter Jr.,34,C-F,6-9,270,APR 16, 1999,20.0,1,Duke,1628976
1610612741,2019,00,Denzel Valentine,45,G,6-4,220,NOV 16, 1993,25.0,2,Michigan State,1627756
1610612741,2019,00,Ryan Arcidiacono,51,G,6-3,195,MAR 26, 1994,25.0,2,Villanova,1627853
