TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612739,2019,00,Kevin Love,0,F-C,6-8,251,SEP 07, 1988,31.0,11,UCLA,201567
1610612739,2019,00,Collin Sexton,2,G,6-1,190,JAN 04, 1999,20.0,1,Alabama,1629012
1610612739,2019,00,Kevin Porter Jr.,4,G-F,6-4,203,MAY 04, 2000,19.0,R,USC,1629645
1610612739,2019,00,Jordan Clarkson,8,G,6-4,194,JUN 07, 1992,27.0,5,Missouri,203903
1610612739,2019,00,Dylan Windler,9,G-F,6-6,196,SEP 22, 1996,23.0,R,Belmont,1629685
1610612739,2019,00,Darius Garland,10,G,6-1,192,JAN 26, 2000,19.0,R,Vanderbilt,1629636
1610612739,2019,00,Tristan Thompson,13,C-F,6-9,254,MAR 13, 1991,28.0,8,Texas,202684
1610612739,2019,00,Cedi Osman,16,F,6-7,230,APR 08, 1995,24.0,2, ,1626224
1610612739,2019,00,Matthew Dellavedova,18,G,6-3,200,SEP 08, 1990,29.0,6,St. Mary's (CA),203521
1610612739,2019,00,Brandon Knight,20,G,6-2,182,DEC 02, 1991,27.0,7,Kentucky,202688
1610612739,2019,00,Tyler Cook,21,F,6-8,255,SEP 23, 1997,22.0,R,Iowa,1629076
1610612739,2019,00,Larry Nance Jr.,22,F-C,6-7,245,JAN 01, 1993,26.0,4,Wyoming,1626204
1610612739,2019,00,Alfonzo McKinnie,28,F,6-7,215,SEP 17, 1992,27.0,2,Wisc.-Green Bay,1628035
1610612739,2019,00,John Henson,31,F-C,6-9,219,DEC 28, 1990,28.0,7,North Carolina,203089
1610612739,2019,00,Dean Wade,32,F-C,6-9,228,NOV 20, 1996,22.0,R,Kansas State,1629731
1610612739,2019,00,Ante Zizic,41,C,6-10,266,JAN 04, 1997,22.0,2, ,1627790
