TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612743,2019,00,Michael Porter Jr.,1,F,6-10,218,JUN 29, 1998,21.0,R,Missouri,1629008
1610612743,2019,00,Torrey Craig,3,F,6-7,221,DEC 19, 1990,28.0,2,South Carolina Upstate,1628470
1610612743,2019,00,Paul Millsap,4,F,6-7,257,FEB 10, 1985,34.0,13,Louisiana Tech,200794
1610612743,2019,00,Will Barton,5,G,6-5,181,JAN 06, 1991,28.0,7,Memphis,203115
1610612743,2019,00,Jarred Vanderbilt,8,F,6-9,214,APR 03, 1999,20.0,1,Kentucky,1629020
1610612743,2019,00,Jerami Grant,9,F,6-8,210,MAR 12, 1994,25.0,5,Syracuse,203924
1610612743,2019,00,Bol Bol,10,C-F,7-2,220,NOV 16, 1999,19.0,R,Oregon,1629626
1610612743,2019,00,Monte Morris,11,G,6-2,183,JUN 27, 1995,24.0,2,Iowa State,1628420
1610612743,2019,00,Gary Harris,14,G,6-4,210,SEP 14, 1994,25.0,5,Michigan State,203914
1610612743,2019,00,Nikola Jokic,15,C,7-0,284,FEB 19, 1995,24.0,4, ,203999
1610612743,2019,00,Mason Plumlee,24,F-C,6-11,254,MAR 05, 1990,29.0,6,Duke,203486
1610612743,2019,00,Malik Beasley,25,G,6-4,187,NOV 26, 1996,22.0,3,Florida State,1627736
1610612743,2019,00,Jamal Murray,27,G,6-4,215,FEB 23, 1997,22.0,3,Kentucky,1627750
1610612743,2019,00,Vlatko Cancar,31,F,6-8,236,APR 10, 1997,22.0,R, ,1628427
1610612743,2019,00,PJ Dozier,35,G-F,6-6,205,OCT 25, 1996,23.0,2,South Carolina,1628408
1610612743,2019,00,Juancho Hernangomez,41,F,6-9,214,SEP 28, 1995,24.0,3, ,1627823
