TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612765,2019,00,Andre Drummond,0,C,6-10,279,AUG 10, 1993,26.0,7,Connecticut,203083
1610612765,2019,00,Reggie Jackson,1,G,6-3,208,APR 16, 1990,29.0,8,Boston College,202704
1610612765,2019,00,Luke Kennard,5,G,6-5,206,JUN 24, 1996,23.0,2,Duke,1628379
1610612765,2019,00,Bruce Brown,6,G-F,6-4,202,AUG 15, 1996,23.0,1,Miami,1628971
1610612765,2019,00,Thon Maker,7,F-C,7-0,221,FEB 25, 1997,22.0,3, ,1627748
1610612765,2019,00,Markieff Morris,8,F,6-8,245,SEP 02, 1989,30.0,8,Kansas,202693
1610612765,2019,00,Langston Galloway,9,G,6-1,200,DEC 09, 1991,27.0,5,None,204038
1610612765,2019,00,Tim Frazier,12,G,6-0,170,NOV 01, 1990,28.0,5,Penn State,204025
1610612765,2019,00,Khyri Thomas,13,G,6-3,210,MAY 08, 1996,23.0,1,Creighton,1629017
1610612765,2019,00,Louis King,14,F,6-7,205,APR 06, 1999,20.0,R,Oregon,1629663
1610612765,2019,00,Tony Snell,17,G,6-6,213,NOV 10, 1991,27.0,6, ,203503
1610612765,2019,00,Jordan Bone,18,G,6-3,180,NOV 05, 1997,21.0,R,Tennessee,1629648
1610612765,2019,00,Svi Mykhailiuk,19,G-F,6-7,205,JUN 10, 1997,22.0,1,Kansas,1629004
1610612765,2019,00,Blake Griffin,23,F,6-9,250,MAR 16, 1989,30.0,9,Oklahoma,201933
1610612765,2019,00,Derrick Rose,25,G,6-2,200,OCT 04, 1988,31.0,10,Memphis,201565
1610612765,2019,00,Christian Wood,35,F,6-10,214,SEP 27, 1995,24.0,3,UNLV,1626174
1610612765,2019,00,Sekou Doumbouya,45,F,6-8,230,DEC 23, 2000,18.0,R, ,1629635
