TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612745,2019,00,Russell Westbrook,0,G,6-3,200,NOV 12, 1988,30.0,11,UCLA,201566
1610612745,2019,00,Chris Clemons,3,G,5-9,180,JUL 23, 1997,22.0,R,Campbell University,1629598
1610612745,2019,00,Danuel House Jr.,4,F-G,6-6,220,JUN 07, 1993,26.0,3,Texas A&M,1627863
1610612745,2019,00,Gary Clark,6,F,6-6,225,NOV 16, 1994,24.0,1,Cincinnati,1629109
1610612745,2019,00,Eric Gordon,10,G,6-3,215,DEC 25, 1988,30.0,11,Indiana,201569
1610612745,2019,00,James Harden,13,G,6-5,220,AUG 26, 1989,30.0,10,Arizona State,201935
1610612745,2019,00,Gerald Green,14,G-F,6-6,205,JAN 26, 1986,33.0,12,No College,101123
1610612745,2019,00,Clint Capela,15,C,6-10,240,MAY 18, 1994,25.0,5,Switzerland,203991
1610612745,2019,00,Ben McLemore,16,G,6-3,195,FEB 11, 1993,26.0,6,Kansas,203463
1610612745,2019,00,P.J. Tucker,17,F,6-5,245,MAY 05, 1985,34.0,8,Texas,200782
1610612745,2019,00,Thabo Sefolosha,18,F-G,6-6,215,MAY 02, 1984,35.0,13, ,200757
1610612745,2019,00,Tyson Chandler,19,C,7-0,235,OCT 02, 1982,37.0,18,No College,2199
1610612745,2019,00,Michael Frazier,21,G,6-3,200,MAR 08, 1994,25.0,R,Florida,1626187
1610612745,2019,00,Austin Rivers,25,G,6-3,200,AUG 01, 1992,27.0,7,Duke,203085
1610612745,2019,00,Ryan Anderson,33,F,6-9,240,MAY 06, 1988,31.0,11,California,201583
1610612745,2019,00,Nene,42,C-F,6-11,250,SEP 13, 1982,37.0,17, ,2403
1610612745,2019,00,Isaiah Hartenstein,55,C-F,7-0,250,MAY 05, 1998,21.0,1, ,1628392
