TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612763,2019,00,De'Anthony Melton,0,G,6-2,200,MAY 28, 1998,21.0,1,USC,1629001
1610612763,2019,00,Kyle Anderson,1,F-G,6-9,230,SEP 20, 1993,26.0,5,UCLA,203937
1610612763,2019,00,Grayson Allen,3,G,6-4,198,OCT 08, 1995,24.0,1,Duke,1628960
1610612763,2019,00,Bruno Caboclo,5,F,6-9,218,SEP 21, 1995,24.0,5,Brazil,203998
1610612763,2019,00,Andre Iguodala,9,G-F,6-6,215,JAN 28, 1984,35.0,15,Arizona,2738
1610612763,2019,00,Ja Morant,12,G,6-3,174,AUG 10, 1999,20.0,R,Murray State,1629630
1610612763,2019,00,Jaren Jackson Jr.,13,F-C,6-11,242,SEP 15, 1999,20.0,1,Michigan State,1628991
1610612763,2019,00,Brandon Clarke,15,F-G,6-8,215,SEP 19, 1996,23.0,R,Gonzaga,1629634
1610612763,2019,00,Jonas Valanciunas,17,C,6-11,265,MAY 06, 1992,27.0,7, ,202685
1610612763,2019,00,Yuta Watanabe,18,G-F,6-8,215,OCT 13, 1994,25.0,1,George Washington,1629139
1610612763,2019,00,Josh Jackson,20,G-F,6-8,207,FEB 10, 1997,22.0,2,Kansas,1628367
1610612763,2019,00,Tyus Jones,21,G,6-0,196,MAY 10, 1996,23.0,4,Duke,1626145
1610612763,2019,00,Marko Guduric,23,G,6-6,201,MAR 08, 1995,24.0,R, ,1629741
1610612763,2019,00,Dillon Brooks,24,G-F,6-7,225,JAN 22, 1996,23.0,2,Oregon,1628415
1610612763,2019,00,Solomon Hill,44,F,6-6,226,MAR 18, 1991,28.0,6,Arizona,203524
1610612763,2019,00,John Konchar,46,G,6-5,210,MAR 22, 1996,23.0,R,None,1629723
1610612763,2019,00,Jae Crowder,99,F,6-6,235,JUL 06, 1990,29.0,7,Marquette,203109
