TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612748,2019,00,Meyers Leonard,0,F-C,7-0,260,FEB 27, 1992,27.0,7,Illinois,203086
1610612748,2019,00,KZ Okpala,4,F-G,6-8,215,APR 28, 1999,20.0,R,Stanford,1629644
1610612748,2019,00,Derrick Jones Jr.,5,F,6-6,210,FEB 15, 1997,22.0,3,UNLV,1627884
1610612748,2019,00,Goran Dragic,7,G,6-3,190,MAY 06, 1986,33.0,11, ,201609
1610612748,2019,00,Kelly Olynyk,9,F-C,6-11,240,APR 19, 1991,28.0,6,Gonzaga,203482
1610612748,2019,00,Dion Waiters,11,G,6-3,210,DEC 10, 1991,27.0,7,Syracuse,203079
1610612748,2019,00,Bam Adebayo,13,C-F,6-9,255,JUL 18, 1997,22.0,2,Kentucky,1628389
1610612748,2019,00,Tyler Herro,14,G,6-5,195,JAN 20, 2000,19.0,R,Kentucky,1629639
1610612748,2019,00,Daryl Macon,15,G,6-2,185,NOV 29, 1995,23.0,1,Arkansas,1629133
1610612748,2019,00,James Johnson,16,F,6-7,240,FEB 20, 1987,32.0,10,Wake Forest,201949
1610612748,2019,00,Justise Winslow,20,F-G,6-6,222,MAR 26, 1996,23.0,4,Duke,1626159
1610612748,2019,00,Jimmy Butler,22,F,6-7,230,SEP 14, 1989,30.0,8,Marquette,202710
1610612748,2019,00,Kendrick Nunn,25,G,6-2,190,AUG 03, 1995,24.0,R,Oakland,1629134
1610612748,2019,00,Chris Silva,30,F,6-8,234,SEP 19, 1996,23.0,R,South Carolina,1629735
1610612748,2019,00,Udonis Haslem,40,F,6-8,235,JUN 09, 1980,39.0,16,Florida,2617
1610612748,2019,00,Duncan Robinson,55,F,6-7,215,APR 22, 1994,25.0,1,Michigan,1629130
