TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612749,2019,00,Donte DiVincenzo,0,G,6-4,203,JAN 31, 1997,22.0,1,Villanova,1628978
1610612749,2019,00,George Hill,3,G,6-3,188,MAY 04, 1986,33.0,11,None,201588
1610612749,2019,00,D.J. Wilson,5,F,6-10,231,FEB 19, 1996,23.0,2,Michigan,1628391
1610612749,2019,00,Eric Bledsoe,6,G,6-1,214,DEC 09, 1989,29.0,9,Kentucky,202339
1610612749,2019,00,Ersan Ilyasova,7,F,6-9,235,MAY 15, 1987,32.0,11, ,101141
1610612749,2019,00,Wesley Matthews,9,G,6-4,220,OCT 14, 1986,33.0,10,Marquette,202083
1610612749,2019,00,Brook Lopez,11,C,7-0,282,APR 01, 1988,31.0,11,Stanford,201572
1610612749,2019,00,Cameron Reynolds,13,G-F,6-7,225,FEB 07, 1995,24.0,1,Tulane,1629244
1610612749,2019,00,Frank Mason,15,G,5-11,190,APR 03, 1994,25.0,2,Kansas,1628412
1610612749,2019,00,Dragan Bender,17,F,7-0,249,NOV 17, 1997,21.0,3, ,1627733
1610612749,2019,00,Khris Middleton,22,F,6-7,222,AUG 12, 1991,28.0,7,Texas A&M,203114
1610612749,2019,00,Sterling Brown,23,G-F,6-5,219,FEB 10, 1995,24.0,2,Southern Methodist,1628425
1610612749,2019,00,Pat Connaughton,24,G,6-5,209,JAN 06, 1993,26.0,4,Notre Dame,1626192
1610612749,2019,00,Kyle Korver,26,G-F,6-7,212,MAR 17, 1981,38.0,16,Creighton,2594
1610612749,2019,00,Giannis Antetokounmpo,34,F,6-11,242,DEC 06, 1994,24.0,6, ,203507
1610612749,2019,00,Robin Lopez,42,C,7-0,281,APR 01, 1988,31.0,11,Stanford,201577
1610612749,2019,00,Thanasis Antetokounmpo,43,F,6-6,219,JUL 18, 1992,27.0,1, ,203648
