TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612750,2019,00,Jeff Teague,0,G,6-3,195,JUN 10, 1988,31.0,10,Wake Forest,201952
1610612750,2019,00,Noah Vonleh,1,F,6-10,257,AUG 24, 1995,24.0,5,Indiana,203943
1610612750,2019,00,Jaylen Nowell,4,G,6-4,201,JUL 09, 1999,20.0,R,Washington,1629669
1610612750,2019,00,Gorgui Dieng,5,C,6-10,252,JAN 18, 1990,29.0,6,Louisville,203476
1610612750,2019,00,Jordan McLaughlin,6,G,5-11,185,APR 09, 1996,23.0,R,USC,1629162
1610612750,2019,00,Jordan Bell,7,F,6-8,216,JAN 07, 1995,24.0,2,Oregon,1628395
1610612750,2019,00,Jake Layman,10,F,6-8,209,MAR 07, 1994,25.0,3,Maryland,1627774
1610612750,2019,00,Naz Reid,11,C-F,6-9,264,AUG 26, 1999,20.0,R,Louisiana State,1629675
1610612750,2019,00,Treveon Graham,12,G-F,6-5,219,OCT 28, 1993,26.0,3,Va Commonwealth,1626203
1610612750,2019,00,Shabazz Napier,13,G,6-0,175,JUL 14, 1991,28.0,5,Connecticut,203894
1610612750,2019,00,Josh Okogie,20,G,6-4,213,SEP 01, 1998,21.0,1,Georgia Institute of Technology,1629006
1610612750,2019,00,Andrew Wiggins,22,F,6-7,197,FEB 23, 1995,24.0,5,Kansas,203952
1610612750,2019,00,Jarrett Culver,23,G-F,6-6,195,FEB 20, 1999,20.0,R,Texas Tech,1629633
1610612750,2019,00,Kelan Martin,30,F,6-5,230,AUG 03, 1995,24.0,R,Butler,1629103
1610612750,2019,00,Keita Bates-Diop,31,F,6-8,229,JAN 23, 1996,23.0,1,Ohio State,1628966
1610612750,2019,00,Karl-Anthony Towns,32,C-F,6-11,248,NOV 15, 1995,23.0,4,Kentucky,1626157
1610612750,2019,00,Robert Covington,33,F,6-7,209,DEC 14, 1990,28.0,6,Tennessee State,203496
