TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612740,2019,00,Nickeil Alexander-Walker,0,G,6-5,205,SEP 02, 1998,21.0,R,Virginia Tech,1629638
1610612740,2019,00,Zion Williamson,1,F,6-6,284,JUL 06, 2000,19.0,R,Duke,1629627
1610612740,2019,00,Lonzo Ball,2,G,6-6,190,OCT 27, 1997,22.0,2,UCLA,1628366
1610612740,2019,00,Josh Hart,3,G,6-5,215,MAR 06, 1995,24.0,2,Villanova,1628404
1610612740,2019,00,JJ Redick,4,G,6-3,200,JUN 24, 1984,35.0,13,Duke,200755
1610612740,2019,00,Josh Gray,5,G,6-0,180,SEP 09, 1993,26.0,1,Louisiana State,1627982
1610612740,2019,00,Jahlil Okafor,8,C-F,6-10,270,DEC 15, 1995,23.0,4,Duke,1626143
1610612740,2019,00,Jaxson Hayes,10,C-F,6-11,220,MAY 23, 2000,19.0,R,Texas,1629637
1610612740,2019,00,Jrue Holiday,11,G,6-3,205,JUN 12, 1990,29.0,10,UCLA,201950
1610612740,2019,00,Brandon Ingram,14,F,6-7,190,SEP 02, 1997,22.0,3,Duke,1627742
1610612740,2019,00,Frank Jackson,15,G,6-3,205,MAY 04, 1998,21.0,1,Duke,1628402
1610612740,2019,00,Nicolo Melli,20,F,6-9,236,JAN 26, 1991,28.0,R, ,1629740
1610612740,2019,00,Darius Miller,21,F,6-6,225,MAR 21, 1990,29.0,5,Kentucky,203121
1610612740,2019,00,Derrick Favors,22,F,6-9,265,JUL 15, 1991,28.0,9,Georgia Tech,202324
1610612740,2019,00,Kenrich Williams,34,G-F,6-6,210,DEC 02, 1994,24.0,1,Texas Christian,1629026
1610612740,2019,00,Zylan Cheatham,45,F,6-5,220,NOV 17, 1995,23.0,R,Arizona State,1629597
1610612740,2019,00,E'Twaun Moore,55,G,6-3,191,FEB 25, 1989,30.0,8,Purdue,202734
