TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612752,2019,00,Kadeem Allen,0,G,6-1,200,JAN 15, 1993,26.0,2,Arizona,1628443
1610612752,2019,00,Bobby Portis,1,F,6-10,250,FEB 10, 1995,24.0,4,Arkansas,1626171
1610612752,2019,00,Wayne Ellington,2,G,6-4,207,NOV 29, 1987,31.0,10,North Carolina,201961
1610612752,2019,00,Dennis Smith Jr.,5,G,6-2,205,NOV 25, 1997,21.0,2,North Carolina State,1628372
1610612752,2019,00,Elfrid Payton,6,G,6-3,195,FEB 22, 1994,25.0,5,Louisana-Lafayette,203901
1610612752,2019,00,RJ Barrett,9,F-G,6-6,214,JUN 14, 2000,19.0,R,Duke,1629628
1610612752,2019,00,Ivan Rabb,10,F-C,6-10,220,FEB 04, 1997,22.0,2,University of California, Berkeley,1628397
1610612752,2019,00,Frank Ntilikina,11,G,6-4,200,JUL 28, 1998,21.0,2, ,1628373
1610612752,2019,00,Marcus Morris Sr.,13,F,6-8,218,SEP 02, 1989,30.0,8,Kansas,202694
1610612752,2019,00,Allonzo Trier,14,G,6-4,200,JAN 17, 1996,23.0,1,Arizona,1629019
1610612752,2019,00,Ignas Brazdeikis,17,F,6-6,221,JAN 08, 1999,20.0,R,Michigan,1629649
1610612752,2019,00,Kevin Knox II,20,F,6-7,215,AUG 11, 1999,20.0,1,Kentucky,1628995
1610612752,2019,00,Damyean Dotson,21,G,6-5,210,MAY 06, 1994,25.0,2,Houston,1628422
1610612752,2019,00,Mitchell Robinson,23,C-F,7-0,240,APR 01, 1998,21.0,1,Western Kentucky,1629011
1610612752,2019,00,Reggie Bullock,25,G-F,6-6,205,MAR 16, 1991,28.0,6,North Carolina,203493
1610612752,2019,00,Julius Randle,30,F-C,6-8,250,NOV 29, 1994,24.0,5,Kentucky,203944
1610612752,2019,00,Taj Gibson,67,F,6-9,232,JUN 24, 1985,34.0,10,USC,201959
