TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612760,2019,00,Shai Gilgeous-Alexander,2,G-F,6-5,180,JUL 12, 1998,21.0,1,Kentucky,1628983
1610612760,2019,00,Chris Paul,3,G,6-1,175,MAY 06, 1985,34.0,14,Wake Forest,101108
1610612760,2019,00,Luguentz Dort,5,G,6-3,215,APR 19, 1999,20.0,R,Arizona State,1629652
1610612760,2019,00,Hamidou Diallo,6,G,6-5,202,JUL 31, 1998,21.0,1,Kentucky,1628977
1610612760,2019,00,Darius Bazley,7,F-G,6-8,208,JUN 12, 2000,19.0,R, ,1629647
1610612760,2019,00,Danilo Gallinari,8,F,6-10,233,AUG 08, 1988,31.0,10, ,201568
1610612760,2019,00,Nerlens Noel,9,C-F,6-10,220,APR 10, 1994,25.0,5,Kentucky,203457
1610612760,2019,00,Abdel Nader,11,F,6-5,225,SEP 25, 1993,26.0,2,Iowa State,1627846
1610612760,2019,00,Steven Adams,12,C,6-11,265,JUL 20, 1993,26.0,6,Pittsburgh,203500
1610612760,2019,00,Justin Patton,13,C,6-11,241,JUN 14, 1997,22.0,2,Creighton,1628383
1610612760,2019,00,Dennis Schroder,17,G,6-1,172,SEP 15, 1993,26.0,6, ,203471
1610612760,2019,00,Andre Roberson,21,G-F,6-7,210,DEC 04, 1991,27.0,5,Colorado,203460
1610612760,2019,00,Devon Hall,22,G,6-2,215,JUL 07, 1995,24.0,R,Virginia,1628985
1610612760,2019,00,Terrance Ferguson,23,G,6-6,190,MAY 17, 1998,21.0,2, ,1628390
1610612760,2019,00,Deonte Burton,30,G-F,6-4,240,JAN 31, 1994,25.0,1,Iowa State,1629126
1610612760,2019,00,Mike Muscala,33,F-C,6-10,240,JUL 01, 1991,28.0,6,Bucknell,203488
