TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612753,2019,00,Aaron Gordon,00,F,6-8,235,SEP 16, 1995,24.0,5,Arizona,203932
1610612753,2019,00,Jonathan Isaac,1,F,6-11,230,OCT 03, 1997,22.0,2,Florida State,1628371
1610612753,2019,00,Al-Farouq Aminu,2,F,6-8,220,SEP 21, 1990,29.0,9,Wake Forest,202329
1610612753,2019,00,Josh Magette,4,G,6-1,160,NOV 28, 1989,29.0,1,Alabama Huntsville,203705
1610612753,2019,00,Mo Bamba,5,C,7-0,231,MAY 12, 1998,21.0,1,University of Texas at Austin,1628964
1610612753,2019,00,Michael Carter-Williams,7,G,6-5,190,OCT 10, 1991,28.0,6,Syracuse,203487
1610612753,2019,00,Terrence Ross,8,G-F,6-6,206,FEB 05, 1991,28.0,7,Washington,203082
1610612753,2019,00,Nikola Vucevic,9,C,6-11,260,OCT 24, 1990,29.0,8,USC,202696
1610612753,2019,00,Evan Fournier,10,G-F,6-7,205,OCT 29, 1992,27.0,7, ,203095
1610612753,2019,00,Amile Jefferson,11,F,6-9,222,MAY 07, 1993,26.0,1,Duke,1628518
1610612753,2019,00,D.J. Augustin,14,G,5-11,183,NOV 10, 1987,31.0,11,Texas,201571
1610612753,2019,00,Markelle Fultz,20,G,6-3,209,MAY 29, 1998,21.0,2,Washington,1628365
1610612753,2019,00,Khem Birch,24,C,6-9,233,SEP 28, 1992,27.0,2,UNLV,203920
1610612753,2019,00,Wes Iwundu,25,F,6-6,195,DEC 20, 1994,24.0,2,Kansas State,1628411
1610612753,2019,00,Melvin Frazier Jr.,35,G-F,6-5,215,AUG 30, 1996,23.0,1,Tulane,1628982
