TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612755,2019,00,Josh Richardson,0,G,6-5,200,SEP 15, 1993,26.0,4,Tennessee,1626196
1610612755,2019,00,Mike Scott,1,F,6-7,237,JUL 16, 1988,31.0,7,Virginia,203118
1610612755,2019,00,Zhaire Smith,8,G,6-3,205,JUN 04, 1999,20.0,1,Texas Tech,1629015
1610612755,2019,00,Kyle O'Quinn,9,C-F,6-9,250,MAR 26, 1990,29.0,7,Norfolk State,203124
1610612755,2019,00,James Ennis III,11,F,6-6,215,JUL 01, 1990,29.0,5,Cal State-Long Beach,203516
1610612755,2019,00,Tobias Harris,12,F,6-8,226,JUL 15, 1992,27.0,8,Tennessee,202699
1610612755,2019,00,Norvel Pelle,14,F,6-10,231,FEB 03, 1993,26.0,R,Iona,203658
1610612755,2019,00,Shake Milton,18,G-F,6-5,205,SEP 26, 1996,23.0,1,Southern Methodist,1629003
1610612755,2019,00,Raul Neto,19,G,6-1,180,MAY 19, 1992,27.0,4, ,203526
1610612755,2019,00,Joel Embiid,21,C-F,7-0,280,MAR 16, 1994,25.0,3,Kansas,203954
1610612755,2019,00,Matisse Thybulle,22,G-F,6-5,201,MAR 04, 1997,22.0,R,Washington,1629680
1610612755,2019,00,Trey Burke,23,G,6-0,185,NOV 12, 1992,26.0,6,Michigan,203504
1610612755,2019,00,Ben Simmons,25,G-F,6-10,240,JUL 20, 1996,23.0,2,Louisiana State,1627732
1610612755,2019,00,Furkan Korkmaz,30,G-F,6-7,202,JUL 24, 1997,22.0,2, ,1627788
1610612755,2019,00,Marial Shayok,35,G-F,6-5,198,JUL 26, 1995,24.0,R,Iowa State,1629621
1610612755,2019,00,Al Horford,42,C-F,6-9,240,JUN 03, 1986,33.0,12,Florida,201143
1610612755,2019,00,Jonah Bolden,43,F,6-8,225,JAN 02, 1996,23.0,1,UCLA,1628413
