TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612757,2019,00,Damian Lillard,0,G,6-2,195,JUL 15, 1990,29.0,7,Weber State,203081
1610612757,2019,00,Anfernee Simons,1,G,6-3,181,JUN 08, 1999,20.0,1, ,1629014
1610612757,2019,00,Gary Trent Jr.,2,G-F,6-5,209,JAN 18, 1999,20.0,1,Duke,1629018
1610612757,2019,00,CJ McCollum,3,G,6-3,190,SEP 19, 1991,28.0,6,Lehigh,203468
1610612757,2019,00,Moses Brown,4,C,7-2,245,OCT 13, 1999,20.0,R,UCLA,1629650
1610612757,2019,00,Rodney Hood,5,G-F,6-8,208,OCT 20, 1992,27.0,5,Duke,203918
1610612757,2019,00,Jaylen Hoard,6,F,6-8,216,MAR 30, 1999,20.0,R,Wake Forest,1629658
1610612757,2019,00,Nassir Little,9,F-G,6-5,220,FEB 11, 2000,19.0,R,North Carolina,1629642
1610612757,2019,00,Pau Gasol,16,F-C,7-1,250,JUL 06, 1980,39.0,18, ,2200
1610612757,2019,00,Skal Labissiere,17,F-C,6-10,235,MAR 18, 1996,23.0,3,Kentucky,1627746
1610612757,2019,00,Hassan Whiteside,21,C,7-0,265,JUN 13, 1989,30.0,7,Marshall,202355
1610612757,2019,00,Kent Bazemore,24,G-F,6-4,195,JUL 01, 1989,30.0,7,Old Dominion,203145
1610612757,2019,00,Jusuf Nurkic,27,C,7-0,290,AUG 23, 1994,25.0,5, ,203994
1610612757,2019,00,Zach Collins,33,F-C,6-11,250,NOV 19, 1997,21.0,2,Gonzaga,1628380
1610612757,2019,00,Anthony Tolliver,43,F,6-8,240,JUN 01, 1985,34.0,11,Creighton,201229
1610612757,2019,00,Mario Hezonja,44,F-G,6-8,220,FEB 25, 1995,24.0,4, ,1626209
