TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612758,2019,00,Trevor Ariza,0,F,6-8,215,JUN 30, 1985,34.0,15,UCLA,2772
1610612758,2019,00,Yogi Ferrell,3,G,6-0,178,MAY 09, 1993,26.0,3,Indiana,1627812
1610612758,2019,00,De'Aaron Fox,5,G,6-3,185,DEC 20, 1997,21.0,2,Kentucky,1628368
1610612758,2019,00,Kyle Guy,7,G,6-1,167,AUG 11, 1997,22.0,R,Virginia,1629657
1610612758,2019,00,Bogdan Bogdanovic,8,G,6-6,220,AUG 18, 1992,27.0,2, ,203992
1610612758,2019,00,Cory Joseph,9,G,6-3,200,AUG 20, 1991,28.0,8,Texas,202709
1610612758,2019,00,Justin James,10,G-F,6-7,190,JAN 24, 1997,22.0,R,Wyoming,1629713
1610612758,2019,00,Dewayne Dedmon,13,C,7-0,245,AUG 12, 1989,30.0,6,USC,203473
1610612758,2019,00,DaQuan Jeffries,19,G-F,6-5,230,AUG 30, 1997,22.0,R,Tulsa,1629610
1610612758,2019,00,Harry Giles III,20,F-C,6-11,240,APR 22, 1998,21.0,1,Duke,1628385
1610612758,2019,00,Richaun Holmes,22,F,6-10,235,OCT 15, 1993,26.0,4,Bowling Green,1626158
1610612758,2019,00,Buddy Hield,24,G,6-4,220,DEC 17, 1992,26.0,3,Oklahoma,1627741
1610612758,2019,00,Wenyen Gabriel,32,F,6-9,205,MAR 26, 1997,22.0,R,Kentucky,1629117
1610612758,2019,00,Marvin Bagley III,35,F,6-11,235,MAR 14, 1999,20.0,1,Duke,1628963
1610612758,2019,00,Harrison Barnes,40,F,6-8,225,MAY 30, 1992,27.0,7,North Carolina,203084
1610612758,2019,00,Caleb Swanigan,50,F,6-9,260,APR 18, 1997,22.0,2,Purdue,1628403
1610612758,2019,00,Nemanja Bjelica,88,F,6-10,234,MAY 09, 1988,31.0,4, ,202357
