TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612759,2019,00,Lonnie Walker IV,1,G-F,6-5,204,DEC 14, 1998,20.0,1,Miami,1629022
1610612759,2019,00,Keldon Johnson,3,F-G,6-5,220,OCT 11, 1999,20.0,R,Kentucky,1629640
1610612759,2019,00,Derrick White,4,G,6-4,190,JUL 02, 1994,25.0,2,Colorado,1628401
1610612759,2019,00,Dejounte Murray,5,G,6-4,180,SEP 19, 1996,23.0,2,Washington,1627749
1610612759,2019,00,Chimezie Metu,7,F-C,6-9,225,MAR 22, 1997,22.0,1,USC,1629002
1610612759,2019,00,Patty Mills,8,G,6-1,180,AUG 11, 1988,31.0,10,St. Mary's (CA),201988
1610612759,2019,00,DeMar DeRozan,10,G-F,6-6,220,AUG 07, 1989,30.0,10,USC,201942
1610612759,2019,00,Bryn Forbes,11,G,6-2,205,JUL 23, 1993,26.0,3,Michigan State,1627854
1610612759,2019,00,LaMarcus Aldridge,12,C-F,6-11,250,JUL 19, 1985,34.0,13,Texas,200746
1610612759,2019,00,Drew Eubanks,14,F-C,6-9,245,FEB 01, 1997,22.0,1,Oregon State,1629234
1610612759,2019,00,Quinndary Weatherspoon,15,G,6-3,205,SEP 10, 1996,23.0,R,Mississippi State,1629683
1610612759,2019,00,Marco Belinelli,18,G,6-5,220,MAR 25, 1986,33.0,12, ,201158
1610612759,2019,00,Luka Samanic,19,F,6-10,227,JAN 09, 2000,19.0,R, ,1629677
1610612759,2019,00,Rudy Gay,22,F-G,6-8,250,AUG 17, 1986,33.0,13,Connecticut,200752
1610612759,2019,00,Jakob Poeltl,25,C,7-1,245,OCT 15, 1995,24.0,3,Utah,1627751
1610612759,2019,00,Trey Lyles,41,F,6-9,234,NOV 05, 1995,23.0,4,Kentucky,1626168
1610612759,2019,00,DeMarre Carroll,77,F,6-6,215,JUL 27, 1986,33.0,10,Missouri,201960
