TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612761,2019,00,Terence Davis,0,G,6-4,201,MAY 16, 1997,22.0,R,Mississippi,1629056
1610612761,2019,00,OG Anunoby,3,F,6-7,232,JUL 17, 1997,22.0,2,Indiana,1628384
1610612761,2019,00,Rondae Hollis-Jefferson,4,F,6-6,217,JAN 03, 1995,24.0,4,Arizona,1626178
1610612761,2019,00,Stanley Johnson,5,F-G,6-6,242,MAY 29, 1996,23.0,4,Arizona,1626169
1610612761,2019,00,Kyle Lowry,7,G,6-0,196,MAR 25, 1986,33.0,13,Villanova,200768
1610612761,2019,00,Serge Ibaka,9,F,7-0,235,SEP 18, 1989,30.0,10, ,201586
1610612761,2019,00,Shamorie Ponds,11,G,6-0,175,JUN 29, 1998,21.0,R,St. John's, N.Y.,1629044
1610612761,2019,00,Oshae Brissett,12,F-G,6-7,210,JUN 20, 1998,21.0,R,Syracuse,1629052
1610612761,2019,00,Malcolm Miller,13,G-F,6-7,210,MAR 06, 1993,26.0,2,Holy Cross,1626259
1610612761,2019,00,Dewan Hernandez,20,C-F,6-10,235,DEC 09, 1996,22.0,R,Miami,1629608
1610612761,2019,00,Matt Thomas,21,G,6-4,190,AUG 04, 1994,25.0,R,Iowa State,1629744
1610612761,2019,00,Patrick McCaw,22,G,6-7,181,OCT 25, 1995,24.0,3,UNLV,1627775
1610612761,2019,00,Fred VanVleet,23,G,6-1,197,FEB 25, 1994,25.0,3,Wichita State,1627832
1610612761,2019,00,Norman Powell,24,G,6-3,215,MAY 25, 1993,26.0,4,UCLA,1626181
1610612761,2019,00,Chris Boucher,25,F-C,6-9,200,JAN 11, 1993,26.0,2,Oregon,1628449
1610612761,2019,00,Marc Gasol,33,C,6-11,255,JAN 29, 1985,34.0,11, ,201188
1610612761,2019,00,Pascal Siakam,43,F,6-9,230,APR 02, 1994,25.0,3,New Mexico State,1627783
