TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612762,2019,00,Nigel Williams-Goss,0,G,6-2,190,SEP 16, 1994,25.0,R,Gonzaga,1628430
1610612762,2019,00,Joe Ingles,2,F-G,6-7,220,OCT 02, 1987,32.0,5, ,204060
1610612762,2019,00,Justin Wright-Foreman,3,G,6-0,190,OCT 27, 1997,22.0,R,Hofstra,1629625
1610612762,2019,00,Jarrell Brantley,5,F,6-5,250,JUN 07, 1996,23.0,R,College of Charleston,1629714
1610612762,2019,00,Emmanuel Mudiay,8,G,6-3,200,MAR 05, 1996,23.0,4, ,1626144
1610612762,2019,00,Mike Conley,10,G,6-1,175,OCT 11, 1987,32.0,12,Ohio State,201144
1610612762,2019,00,Dante Exum,11,G,6-5,214,JUL 13, 1995,24.0,4, ,203957
1610612762,2019,00,Tony Bradley,13,C-F,6-10,248,JAN 08, 1998,21.0,2,North Carolina,1628396
1610612762,2019,00,Stanton Kidd,15,F,6-6,216,MAR 18, 1992,27.0,R,Colorado State,1629742
1610612762,2019,00,Ed Davis,17,C-F,6-9,218,JUN 05, 1989,30.0,9,North Carolina,202334
1610612762,2019,00,Jeff Green,22,F,6-8,235,AUG 28, 1986,33.0,11,Georgetown,201145
1610612762,2019,00,Royce O'Neale,23,F,6-4,226,JUN 05, 1993,26.0,2,Baylor,1626220
1610612762,2019,00,Miye Oni,24,G-F,6-5,206,AUG 04, 1997,22.0,R,Yale,1629671
1610612762,2019,00,Rudy Gobert,27,C,7-1,258,JUN 26, 1992,27.0,6,France,203497
1610612762,2019,00,Georges Niang,31,F,6-7,230,JUN 17, 1993,26.0,3,Iowa State,1627777
1610612762,2019,00,Bojan Bogdanovic,44,F,6-8,226,APR 18, 1989,30.0,5, ,202711
1610612762,2019,00,Donovan Mitchell,45,G,6-1,215,SEP 07, 1996,23.0,2,Louisville,1628378
