TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612764,2019,00,Admiral Schofield,1,G-F,6-5,241,MAR 30, 1997,22.0,R,Tennessee,1629678
1610612764,2019,00,John Wall,2,G,6-4,210,SEP 06, 1990,29.0,9,Kentucky,202322
1610612764,2019,00,Bradley Beal,3,G,6-3,207,JUN 28, 1993,26.0,7,Florida,203078
1610612764,2019,00,Isaiah Thomas,4,G,5-9,185,FEB 07, 1989,30.0,8,Washington,202738
1610612764,2019,00,Justin Robinson,5,G,6-1,195,OCT 12, 1997,22.0,R,Virginia Tech,1629620
1610612764,2019,00,Troy Brown Jr.,6,G-F,6-6,215,JUL 28, 1999,20.0,1,Oregon,1628972
1610612764,2019,00,Rui Hachimura,8,F,6-8,230,FEB 08, 1998,21.0,R,Gonzaga,1629060
1610612764,2019,00,Chris Chiozza,9,G,5-11,175,NOV 21, 1995,23.0,1,Florida,1629185
1610612764,2019,00,Thomas Bryant,13,C-F,6-10,248,JUL 31, 1997,22.0,2,Indiana,1628418
1610612764,2019,00,Ish Smith,14,G,6-0,175,JUL 05, 1988,31.0,9,Wake Forest,202397
1610612764,2019,00,Isaac Bonga,17,G,6-8,180,NOV 08, 1999,19.0,1, ,1629067
1610612764,2019,00,Moritz Wagner,21,F-C,6-11,245,APR 26, 1997,22.0,1,Michigan,1629021
1610612764,2019,00,Garrison Mathews,24,G,6-5,215,OCT 24, 1996,23.0,R,Lipscomb,1629726
1610612764,2019,00,Ian Mahinmi,28,C,6-11,262,NOV 05, 1986,32.0,11, ,101133
1610612764,2019,00,CJ Miles,34,G,6-6,220,MAR 18, 1987,32.0,14,No College,101139
1610612764,2019,00,Davis Bertans,42,F,6-10,225,NOV 12, 1992,26.0,3, ,202722
1610612764,2019,00,Jordan McRae,52,G,6-5,179,MAR 28, 1991,28.0,3,Tennessee,203895
